id,regulated_entity_name,regulated_entity_rn_number,city_county,type_of_air_emissions_event,based_on_the,event_began,event_ended,type_of_emission
1926,GLDU STATION 8,RN102421716,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		3:00PM","03/25/2013 
                
",emissions-event
1927,CRANE BOOSTER STATION,RN100209519,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		5:00AM","03/12/2013 
                
",emissions-event
1928,LULING GAS PLANT,RN100212018,"PRAIRIE LEA, CALDWELL",MAINTENANCE,FINAL REPORT,"03/15/2013 
		6:00AM","03/15/2013 
                
",maintenance
1929,CENTRAL ROBERTSON CLEARFORK UN,RN102531332,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		3:00PM","03/21/2013 
                
",emissions-event
1930,PENN UNIT ABCD BATTERY ANDRES,RN102936655,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		9:00PM","03/20/2013 
                
",emissions-event
1931,UNIVERSITY BLOCK9 CE TANK BATT,RN101954717,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		9:00PM","03/20/2013 
                
",emissions-event
1932,FLANAGAN UNIT CENTRAL BAT,RN102417300,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		3:00PM","03/21/2013 
                
",emissions-event
1933,ROBERTSON CLEARFORK SATELLITE ,RN106382187,", GAINES",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		9:30PM","03/21/2013 
                
",emissions-event
1934,WEST WADDELL RANCH BAT316,RN103909859,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/15/2013 
                
",emissions-event
1935,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",MAINTENANCE,FINAL REPORT,"03/12/2013 
		9:30AM","03/12/2013 
                
",maintenance
1936,WEST WADDELL RANCH SAT191,RN104177050,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/15/2013 
                
",emissions-event
1937,WEST WADDELL RANCH SAT220,RN104177217,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/15/2013 
                
",emissions-event
1938,EQUISTAR CHEMICALS LA PORTE CO,RN100210319,"LA PORTE, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/09/2013 
		2:35PM",12/31/3000,emergency-response
1939,WEST WADDELL RANCH SAT244,RN102573391,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/15/2013 
                
",emissions-event
1940,WEST WADDELL RANCH SAT221,RN104177266,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/15/2013 
                
",emissions-event
1941,LUBRIZOL DEER PARK,RN100221589,"DEER PARK, HARRIS",EMISSIONS EVENT,FINAL REPORT,"03/05/2013 
		12:32AM","03/05/2013 
                
",emissions-event
1942,CAG 480 SATELLITE BATTERY,RN103914495,"OIL AND GAS PRODUCTION, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		9:00AM","03/16/2013 
                
",emissions-event
1943,GARDENDALE SOUTH PGS GARDENDAL,RN106225303,"COTULLA, LA SALLE",MAINTENANCE,INITIAL REPORT,"03/13/2013 
		10:00AM","03/27/2013 
                
",maintenance
1944,CAG 511 SATELLITE BATTERY,RN106343114,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		4:00PM","03/18/2013 
                
",emissions-event
1945,CITY OF BIG SPRING WWTP,RN101721249,"BIG SPRING, HOWARD",WASTEWATER BYPASS,INITIAL REPORT,"03/12/2013 
		10:30AM","03/12/2013 
                
",wastewater-bypass
1946,UNION PACIFIC RAILROAD - DALLA,RN104331087,"EL PASO, EL PASO",EMERGENCY RESPONSE,INITIAL REPORT,03/12/2013,03/12/2013,emergency-response
1947,CHALK G BATTERY,RN102420981,"FORSAN, HOWARD",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		4:30PM","08/07/2013 
                
",emissions-event
1948,MCELROY SECTION 199 EMERGENCY ,RN102297827,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		9:50AM","03/18/2013 
                
",emissions-event
1949,CHALK NORTH BATTERY,RN106578099,"FORSAN, HOWARD",EMISSIONS EVENT,INITIAL REPORT,"03/12/2013 
		4:30PM","03/15/2013 
                
",emissions-event
1950,CHALK E SATELLITE,RN102421492,"FORSAN, HOWARD",EMISSIONS EVENT,INITIAL REPORT,"03/12/2013 
		2:30PM","03/15/2013 
                
",emissions-event
1951,CONOCOPHILLIPS SWEENY PLANT,RN101652030,"SWEENY, BRAZORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,03/10/2013,03/12/2013,boil-water-notice-bwn
1952,DOW TEXAS OPERATIONS FREEPORT,RN100225945,"FREEPORT, BRAZORIA",MAINTENANCE,FINAL REPORT,04/01/2013,"04/01/2013 
                
",maintenance
1953,AGRIUM US BORGER NITROGEN OPER,RN101865715,"BORGER, HUTCHINSON",EMISSIONS EVENT,FINAL REPORT,"03/22/2013 
		3:00AM","03/22/2013 
                
",emissions-event
1954,GANDU 36 BATTERY,RN102186830,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/15/2013 
                
",emissions-event
1955,GANDU 26 FRANK B BATTERY,RN106597891,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/15/2013 
                
",emissions-event
1956,UNIVERSITY ANDREWS 7T BATTERY,RN106503212,"ANDREWS, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/18/2013 
                
",emissions-event
1957,UNIVERSITY ANDREWS BATTERY 14T,RN106248347,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		2:00PM","03/18/2013 
                
",emissions-event
1958,VALERO PORT ARTHUR REFINERY,RN102584026,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		6:40AM","03/13/2013 
                
",emissions-event
1959,SPICEWOOD ESTATES,RN101266146,", BURNET",BOIL WATER NOTICE (BWN),FINAL REPORT,03/11/2013,03/13/2013,boil-water-notice-bwn
1960,GULF AVIATION,RN103885836,"HARLINGEN, CAMERON",EMERGENCY RESPONSE,INITIAL REPORT,03/12/2013,03/12/2013,emergency-response
1961,HAWKVILLE NORTHEAST GAS TREATI,RN106428378,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"03/03/2013 
		5:32PM","03/03/2013 
                
",emissions-event
1962,CITY OF MORGANS POINT RESORT,RN102677366,", BELL",BOIL WATER NOTICE (BWN),FINAL REPORT,02/28/2013,03/01/2013,boil-water-notice-bwn
1963,KEYSTONE GAS PLANT,RN100238633,"KERMIT, WINKLER",EMISSIONS EVENT,FINAL REPORT,"03/12/2013 
		8:20PM","03/12/2013 
                
",emissions-event
1964,EASTMAN CHEMICAL TEXAS OPERATI,RN100219815,"LONGVIEW, HARRISON",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		9:26AM","03/14/2013 
                
",emissions-event
1965,NORTH RILEY CENTRAL BATTERY,RN100219831,"SEMINOLE, GAINES",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		3:30PM","03/21/2013 
                
",emissions-event
1966,GENERIC INCIDENT ZIP CODE 7823,RN104049424,"SAN ANTONIO, BEXAR",EMERGENCY RESPONSE,INITIAL REPORT,"02/14/2013 
		4:00PM",12/31/3000,emergency-response
1967,8TH AVE FOOD MART,RN102363082,"FORT WORTH, TARRANT",,INITIAL REPORT,01/30/2013,02/01/2013,none
1968,GENERIC INCIDENT ZIP CODE 7815,RN104049028,"SEGUIN, GUADALUPE",EMERGENCY RESPONSE,INITIAL REPORT,"03/11/2013 
		7:51AM",12/31/3000,emergency-response
1969,TARGA MIDSTREAM SERVICES PIPEL,RN104396593,", WARD",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		3:00PM","03/13/2013 
                
",emissions-event
1970,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",BOIL WATER NOTICE (BWN),FINAL REPORT,03/05/2013,05/21/2013,boil-water-notice-bwn
1971,CRAFT TURNEY WSC MAIN,RN101202356,", CHEROKEE",BOIL WATER NOTICE (BWN),FINAL REPORT,03/13/2013,03/14/2013,boil-water-notice-bwn
2094,GENERIC INCIDENT ZIP CODE 7605,RN104038161,"HASLET, TARRANT",EMERGENCY RESPONSE,INITIAL REPORT,"03/17/2013 
		8:55AM",06/04/2013,emergency-response
1972,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",EXCESS OPACITY,INITIAL REPORT,"03/13/2013 
		12:50PM","03/13/2013 
                
",excess-opacity
1973,CITY OF MERKEL,RN103779450,"MERKEL, TAYLOR",BOIL WATER NOTICE (BWN),FINAL REPORT,03/11/2013,03/14/2013,boil-water-notice-bwn
1974,CITY OF PETROLIA,RN102677937,"PETROLIA, CLAY",BOIL WATER NOTICE (BWN),FINAL REPORT,03/12/2013,03/14/2013,boil-water-notice-bwn
1975,BRAZOS RIVER ACRES,RN102681590,"GRANBURY, HOOD",BOIL WATER NOTICE (BWN),FINAL REPORT,03/13/2013,03/15/2013,boil-water-notice-bwn
1976,OWENS CORNING ROOFING AND ASPH,RN100225291,"IRVING, DALLAS",MAINTENANCE,FINAL REPORT,"03/15/2013 
		6:10AM","03/18/2013 
                
",maintenance
1977,N COWDEN UNIT TS 16,RN102412046,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
1978,N COWDEN UNIT TS 17,RN102411733,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
1979,N COWDEN UNIT TEST STN 1,RN102412137,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
1980,D & M WSC,RN101441533,"NACOGDOCHES, NACOGDOCHES",BOIL WATER NOTICE (BWN),FINAL REPORT,03/14/2013,03/19/2013,boil-water-notice-bwn
1981,TDCJ ELLIS UNIT,RN102315199,"HUNTSVILLE, WALKER",BOIL WATER NOTICE (BWN),FINAL REPORT,03/14/2013,03/15/2013,boil-water-notice-bwn
1982,TREASURE ISLAND MUD,RN101450252,"FREEPORT, BRAZORIA",BOIL WATER NOTICE (BWN),FINAL REPORT,03/09/2013,03/13/2013,boil-water-notice-bwn
1983,CONSOLIDATED WSC LATEXO PLANT ,RN102687381,"LATEXO, HOUSTON",BOIL WATER NOTICE (BWN),FINAL REPORT,02/22/2013,02/28/2013,boil-water-notice-bwn
1984,FLINT HILLS RESOURCES PORT ART,RN100217389,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		4:50PM","03/13/2013 
                
",emissions-event
1985,LYONDELLBASELL ACETYLS,RN100224450,"LA PORTE, HARRIS",EMISSIONS EVENT,FINAL REPORT,"03/14/2013 
		2:30AM","03/14/2013 
                
",emissions-event
1986,CONSOLIDATED WSC LOOP 304 SYST,RN101281632,"LATEXO, HOUSTON",BOIL WATER NOTICE (BWN),FINAL REPORT,02/25/2013,02/28/2013,boil-water-notice-bwn
1987,GOLDSMITH GAS PLANT,RN100222330,"GOLDSMITH, ECTOR",MAINTENANCE,FINAL REPORT,"03/15/2013 
		7:40AM","03/16/2013 
                
",maintenance
1988,GENERIC INCIDENT ZIP CODE 7753,RN104046206,"DEER PARK, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"03/14/2013 
		1:45PM",12/31/3000,emergency-response
1989,CONSOLIDATED WSC PLANT D SYSTE,RN101442168,"LATEXO, HOUSTON",BOIL WATER NOTICE (BWN),FINAL REPORT,03/02/2013,03/06/2013,boil-water-notice-bwn
1990,CLASSIC COACH UPDATE,RN106632656,", DALLAS",,INITIAL REPORT,02/22/2013,02/26/2013,none
1991,CITY OF RALLS PUBLIC WATER SUP,RN101388189,"RALLS, CROSBY",BOIL WATER NOTICE (BWN),FINAL REPORT,03/07/2013,03/09/2013,boil-water-notice-bwn
1992,GENERIC INCIDENT ZIP CODE 7766,RN104046982,"WINNIE, CHAMBERS",EMERGENCY RESPONSE,INITIAL REPORT,"03/13/2013 
		2:40PM",12/31/3000,emergency-response
1993,BURN COMPLAINT BURKBURNETT,RN106633423,"BURKBURNETT, WICHITA",,INITIAL REPORT,"03/13/2013 
		8:00PM","03/13/2013 
                
",none
1994,NPU 1 & MILLARD C TANK BATTERY,RN106503253,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		6:30PM","04/19/2013 
                
",emissions-event
2004,N COWDEN UNIT TEST SATELLITE 1,RN102995479,", ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
1995,MILLARD A & D TANK BATTERY,RN106264724,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/13/2013 
		6:30PM","04/19/2013 
                
",emissions-event
1996,NORTH COWDEN UNIT TEST STATION,RN102705886,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
1997,N COWDEN UNIT TEST STN 3,RN102533965,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
1998,N COWDEN UNIT TEST STA 4,RN102517935,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
1999,NORTH COWDEN TEST STATION 8,RN102817673,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2000,N COWDEN UNIT TEST STA 9,RN102751856,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2001,TOTAL PETRO CHEMICALS & REFINI,RN102457520,"PORT ARTHUR, JEFFERSON",EMISSIONS EVENT,FINAL REPORT,"03/14/2013 
		8:32AM","03/17/2013 
                
",emissions-event
2002,N COWDEN UNIT TEST STA 10,RN102874062,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2003,N COWDEN UNIT TEST SATELLITE 1,RN102995461,", ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2064,SCHAEFER STEVDORING,RN104735816,", CAMERON",EMERGENCY RESPONSE,INITIAL REPORT,03/14/2013,03/14/2013,emergency-response
2005,N COWDEN UNIT TEST SAT 13,RN102756756,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2006,HUTTO BOOSTER STATION,RN102550167,"BIG SPRING, HOWARD",EMISSIONS EVENT,INITIAL REPORT,"03/14/2013 
		5:45AM","03/15/2013 
                
",emissions-event
2007,BIG BROWN STEAM ELECTRIC STATI,RN101198059,"FAIRFIELD, FREESTONE",EXCESS OPACITY,INITIAL REPORT,"03/14/2013 
		9:17AM","03/14/2013 
                
",excess-opacity
2008,MABEE RANCH C02 PLANT,RN102535796,"MIDLAND, ANDREWS",EMISSIONS EVENT,FINAL REPORT,03/14/2013,"03/14/2013 
                
",emissions-event
2009,N COWDEN UNIT TS 15,RN102421773,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2010,N COWDEN UNIT TS 18,RN102422326,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2011,N COWDEN UNIT TS 20,RN102421922,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2012,N COWDEN UNIT TS 21,RN102421625,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2013,CITY OF CORPUS CHRISTI,RN101385151,", NUECES",,INITIAL REPORT,12/25/2012,03/14/2013,none
2014,N COWDEN UNIT TS 22,RN102421369,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2015,N COWDEN UNIT TEST STA 23,RN102996055,", ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2016,SHELL OIL DEER PARK,RN100211879,"DEER PARK, HARRIS",EMERGENCY RESPONSE,INITIAL REPORT,"04/08/2013 
		2:45PM",12/31/3000,emergency-response
2017,N COWDEN UNIT TS NO 25,RN102413655,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2018,N COWDEN UNIT TS 26,RN102413903,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2019,NORTH COWDEN DEEP STORAGE SYST,RN102418522,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2020,FASKEN GRAYBURG STORAGE S,RN102412590,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2021,OB HOLT S TANK BATTERY,RN102418381,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2022,N COWDEN N CENTRAL TB,RN102420395,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2023,CORRIGAN COWDEN UNIT TB,RN102515202,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2024,RHODES COWDEN UNIT TRACT 3 SAT,RN102665148,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2138,GENERIC INCIDENT ZIP CODE 7731,RN104044466,"MONTGOMERY, MONTGOMERY",,INITIAL REPORT,"03/18/2013 
		3:20PM","03/18/2013 
                
",none
2025,RHODES COWDEN UNIT 5 SAT,RN102413184,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2026,RHODES A CENTRAL BATTERY,RN102292885,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2027,JOHNSON GBSA UNIT CB,RN102414307,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2028,GENERIC INCIDENT ZIP CODE 7523,RN104033907,"DALLAS, DALLAS",EMERGENCY RESPONSE,INITIAL REPORT,"03/15/2013 
		7:33AM",04/15/2013,emergency-response
2029,JOHNSON DEEP UNIT,RN102496916,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2030,JACOBS DAIRY,RN101526549,"SULPHUR SPRINGS, HOPKINS",,INITIAL REPORT,03/14/2013,03/18/2013,none
2031,TILDEN GAS PLANT,RN100216621,"TILDEN, MCMULLEN",EMISSIONS EVENT,FINAL REPORT,"03/14/2013 
		4:00PM","03/14/2013 
                
",emissions-event
2032,JE WITCHER SS AND SAT 4,RN102412145,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2033,F FOSTER SATELLITE 1,RN102413796,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2034,DR ABRAHAM P CANO FRESHMAN ACA,RN106599954,", CAMERON",EMERGENCY RESPONSE,INITIAL REPORT,"01/28/2013 
		10:30PM","01/29/2013 
                
",emergency-response
2035,SID RICHARDSON CARBON BIG SPRI,RN100226026,"BIG SPRING, HOWARD",EMISSIONS EVENT,FINAL REPORT,"03/14/2013 
		10:36AM","03/14/2013 
                
",emissions-event
2036,JE WITCHER PA C AND 7,RN102418589,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2037,S FOSTER UNIT SAT A TB,RN102420239,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2038,SOUTH FOSTER CENTRAL TANK BATT,RN102590338,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2039,SOUTH FOSTER UNIT SAT D,RN102877255,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2040,SOUTH FOSTER UNIT SATELLITE E,RN102171261,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2041,SOUTH FOSTER SATELLITE F,RN102421427,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2042,JASPER ORIENTED STRANDBOARD OS,RN100215169,"JASPER, JASPER",MAINTENANCE,FINAL REPORT,"03/19/2013 
		6:26AM","03/19/2013 
                
",maintenance
2043,SOUTH FOSTER SATELLITE G,RN102757184,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2044,LAGUNA A STORAGE SYSTEM,RN102943214,"ODESSA, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2045,GLDU STATION 4,RN102416344,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2046,GOLDSMITH LANDRETH DEEP UNIT S,RN102752920,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2047,GLDU STN NO 7,RN102421856,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2048,GSMITH LANDRETH DEEP ST12,RN102416013,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2049,CITY OF BOYD,RN101387496,", WISE",BOIL WATER NOTICE (BWN),FINAL REPORT,03/14/2013,03/20/2013,boil-water-notice-bwn
2050,DUKE ENERGY FIELD SERVICES PIP,RN104204474,", WHEELER",EMISSIONS EVENT,FINAL REPORT,"03/14/2013 
		3:30PM","03/14/2013 
                
",emissions-event
2051,GLDU STATION 9,RN102416476,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2052,E WADEL RCH BAT140 SAT633,RN102499308,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2053,GOLDSMITH LANDRETH DEEP UNIT S,RN102598810,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2054,CITY OF TAFT PUBLIC UTILITIES,RN101258911,"TAFT, SAN PATRICIO",BOIL WATER NOTICE (BWN),FINAL REPORT,03/13/2013,03/15/2013,boil-water-notice-bwn
2055,GLDU STATION 13,RN102419686,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2056,MIDLAND FARMS CENTRAL TANK BAT,RN102570884,"ODESSA, ANDREWS",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2057,MIDLAND FARMS UNIT NORTH FLARE,RN105236426,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2058,MIDLAND FARMS UNIT SOUTH FLARE,RN105236392,"GOLDSMITH, ECTOR",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/17/2013 
                
",emissions-event
2059,EAST WADDEL RANCH BATT 52,RN102770278,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2060,EAST WADDELL RANCH BATTERY 72,RN106544331,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2061,EAST WADDELL RANCH BAT 11,RN103034971,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2062,EAST WADDELL RANCH BAT116,RN102872058,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2063,JT MCELROY 202 TB,RN102303336,"CRANE, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2065,E WADDELL RANCH BAT 265,RN102498649,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
2066,BUFFALO CREEK UTILITY,RN102674389,"ROCKWALL, ROCKWALL",BOIL WATER NOTICE (BWN),FINAL REPORT,03/15/2013,03/16/2013,boil-water-notice-bwn
2067,E WADDELL RANCH SAT 38,RN102871571,"PENWELL, CRANE",EMISSIONS EVENT,FINAL REPORT,"03/15/2013 
		8:00AM","03/15/2013 
                
",emissions-event
