id,contaminant,limit,amount_released
2819,Non-Methane Non-Ethane Natural Gas,0,454.0 lbs (est.)
2820,Sulfur dioxide,0,6041.0 lbs (est.)
2821,Carbon Monoxide,0,1493.0 lbs (est.)
2822,Hydrogen Sulfide,0,82.0 % op (est.)
2823,NOX,0,748.0 lbs (est.)
2824,Non-Methane Non-Ethane Natural Gas,0,1215.0 lbs (est.)
2825,Sulfur dioxide,0,7597.0 lbs (est.)
2826,Carbon Monoxide,0,461.96 lbs (est.)
2827,Hydrogen Sulfide,0,53.0 lbs (est.)
2828,NATURAL GAS,0,533.05 lbs (est.)
2829,Nitrogen oxide,0,231.4 lbs (est.)
2830,Sulfur dioxide,0,4981.42 lbs (est.)
2831,Carbon Monoxide,0,7.4 lbs (est.)
2832,Hydrogen Sulfide,0,34.6 lbs (est.)
2833,Nitrogen dioxide,0,0.2 lbs (est.)
2834,Nitrogen oxide,0,0.6 lbs (est.)
2835,Sulfur dioxide,0,3253.2 lbs (est.)
2836,VOC GAS MIXTURE,0,1.3 lbs (est.)
2837,Carbon Monoxide,0,331.99 lbs (est.)
2838,Hydrogen Sulfide,0,42.38 lbs (est.)
2839,NATURAL GAS,0,337.01 lbs (est.)
2840,Nitrogen Oxides (NOx),0,166.3 lbs (est.)
2841,Sulfur dioxide,0,3983.31 lbs (est.)
2842,Carbon Monoxide,0,439.64 lbs (est.)
2843,Hydrogen Sulfide,0,18.61 lbs (est.)
2844,NATURAL GAS,0,313.16 lbs (est.)
2845,Nitrogen oxide,0,51.28 lbs (est.)
2846,Sulfur dioxide,0,1749.37 lbs (est.)
2847,Opacity,10.0 % op,40.0 % op (est.)
2848,"Butane, N-",5000.0 lbs,3413.0 lbs (est.)
2849,"Butane, i",5000.0 lbs,958.0 lbs (est.)
2850,Carbon Monoxide,5000.0 lbs,13875.0 lbs (est.)
2851,Hexanes,5000.0 lbs,2735.0 lbs (est.)
2852,Hydrogen Sulfide,100.0 lbs,1236.0 lbs (est.)
2853,NOX,1000.0 lbs,6950.0 lbs (est.)
2854,"Pentane, N-",5000.0 lbs,1466.0 lbs (est.)
2855,Propane,5000.0 lbs,6468.0 lbs (est.)
2856,Sulfur dioxide,500.0 lbs,116278.0 lbs (est.)
2857,"pentane, iso-",5000.0 lbs,1014.0 lbs (est.)
2858,Opacity,20.0 % op,100.0 % op (est.)
2859,"Butane, N-",5000.0 lbs,609.0 lbs (est.)
2860,"Butane, i",5000.0 lbs,173.0 lbs (est.)
2861,Carbon Monoxide,5000.0 lbs,2445.0 lbs (est.)
2862,Hexanes,5000.0 lbs,462.0 lbs (est.)
2863,Hydrogen Sulfide,100.0 lbs,213.0 lbs (est.)
2864,NOX,1000.0 lbs,1224.0 lbs (est.)
2865,"Pentane, N-",5000.0 lbs,254.0 lbs (est.)
2866,Propane,5000.0 lbs,1149.0 lbs (est.)
2867,Sulfur dioxide,500.0 lbs,20040.0 lbs (est.)
2868,"pentane, iso-",5000.0 lbs,182.0 lbs (est.)
2869,NATURAL GAS,1.1 TONS/YR,7813.27 lbs (est.)
2870,CO,250.0 TONS/YR,817.0 lbs (est.)
2871,NATURAL GAS,25.0 TONS/YR,3442.0 lbs (est.)
2872,NOX,250.0 TONS/YR,409.0 lbs (est.)
2873,"Propane, N-",25.0 TONS/YR,1473.0 lbs (est.)
2874,NATURAL GAS,1.21 TONS/YR,16448.65 lbs (est.)
2875,NATURAL GAS,0.28 TONS/YR,5840.99 lbs (est.)
2876,"Butane, N-",6117.32 LBS/HR,8.04 lbs (est.)
2877,Carbon Monoxide,3736.48 LBS/HR,32.23 lbs (est.)
2878,Ethylene (gaseous),6117.32 LBS/HR,0.03 lbs (est.)
2879,Hydrogen Sulfide,15.78 LBS/HR,0.02 lbs (est.)
2880,Isobutane,6117.32 LBS/HR,5.12 lbs (est.)
2881,Nitrogen Oxides (NOx),1747.18 LBS/HR,5.92 lbs (est.)
2882,Propane,6117.32 LBS/HR,7.67 lbs (est.)
2883,Propylene (Propene),6117.32 LBS/HR,0.04 lbs (est.)
2884,Sulfur dioxide,3242.67 LBS/HR,0.9 lbs (est.)
2885,VOCs,6117.32 LBS/HR,10.7 lbs (est.)
2886,"Butane, N-",6117.32 LBS/HR,19.9 lbs (est.)
2887,Butene,6117.32 LBS/HR,0.01 lbs (est.)
2888,Carbon Monoxide,3736.48 LBS/HR,851.7 lbs (est.)
2889,Cis-2-butene,6117.32 LBS/HR,0.01 lbs (est.)
2890,Ethylene (gaseous),6117.32 LBS/HR,0.01 lbs (est.)
2891,Hydrogen Sulfide,15.78 LBS/HR,2.97 lbs (est.)
2943,Carbon Monoxide,5000.0 lbs,6933.0 lbs (est.)
2892,Isobutane,6117.32 LBS/HR,11.83 lbs (est.)
2893,Isopentane,6117.32 LBS/HR,42.53 lbs (est.)
2894,Nitrogen Oxides (NOx),1747.18 LBS/HR,156.53 lbs (est.)
2895,Pentane,6117.32 LBS/HR,4.91 lbs (est.)
2896,Propane,6117.32 LBS/HR,13.8 lbs (est.)
2897,Propylene (Propene),6117.32 LBS/HR,0.09 lbs (est.)
2898,Sulfur dioxide,3242.67 LBS/HR,273.65 lbs (est.)
2899,Trans-2-butene,6117.32 LBS/HR,0.02 lbs (est.)
2900,VOCs,6117.32 LBS/HR,78.3 lbs (est.)
2901,Butane,0,568.0 lbs (est.)
2902,Hydrogen Sulfide,0,756.0 lbs (est.)
2903,Isobutane,0,708.0 lbs (est.)
2904,Isopentane,0,360.0 lbs (est.)
2905,Pentane,0,70.0 lbs (est.)
2906,Propane,0,1830.0 lbs (est.)
2907,VOCs,0,210.0 lbs (est.)
2908,Hydrogen Sulfide,0.0001 LBS/HR,159.0 lbs (est.)
2909,Carbon Monoxide,226.9 LBS/HR,49.9 lbs (est.)
2910,Hydrogen Sulfide,0.13 LBS/HR,10.34 lbs (est.)
2911,NOX,33.0 LBS/HR,7.83 lbs (est.)
2912,Sulfur dioxide,10.67 LBS/HR,947.0 lbs (est.)
2913,VOC,529.58 LBS/HR,104.56 lbs (est.)
2914,Carbon Monoxide,5000.0 lbs,479.0 lbs (est.)
2915,Hydrogen Sulfide,100.0 lbs,52.0 lbs (est.)
2916,Nitrogen Oxides (NOx),1000.0 lbs,240.0 lbs (est.)
2917,Sulfur dioxide,500.0 lbs,4822.0 lbs (est.)
2918,VOC (light hydrocarbons),1000.0 lbs,355.0 lbs (est.)
2919,Carbon Monoxide,11.26 LBS/HR,15564.0 lbs (est.)
2920,Hydrogen Sulfide,0.98 LBS/HR,1928.0 lbs (est.)
2921,NATURAL GAS,0,5266.0 lbs (est.)
2922,Nitrogen oxide,1.31 LBS/HR,1815.0 lbs (est.)
2923,Opacity,10.0 % op,70.0 % op (est.)
2924,Sulfur dioxide,94.11 LBS/HR,181460.0 lbs (est.)
2925,VOC,9.01 LBS/HR,13050.0 lbs (est.)
2926,Sulfur dioxide,300.0 LBS/HR,195.0 lbs (est.)
2927,Carbon Monoxide,0.01 LBS/HR,266.51 lbs (est.)
2928,Nitrogen Oxides,0.01 LBS/HR,127.22 lbs (est.)
2929,Opacity,20.0 % op,60.0 % op (est.)
2930,Sulfur dioxide,0.01 LBS/HR,4611.49 lbs (est.)
2931,VOC - NONMETHANE,0.01 LBS/HR,750.49 lbs (est.)
2932,"Butane, N-",5000.0 lbs,241.0 lbs (est.)
2933,"Butane, i",5000.0 lbs,97.0 lbs (est.)
2934,Carbon Monoxide,5000.0 lbs,715.0 lbs (est.)
2935,Hexanes,5000.0 lbs,118.0 lbs (est.)
2936,Hydrogen Sulfide,100.0 lbs,78.0 lbs (est.)
2937,NOX,1000.0 lbs,358.0 lbs (est.)
2938,"Pentane, N-",5000.0 lbs,68.0 lbs (est.)
2939,Propane,5000.0 LBS/HR,513.0 lbs (est.)
2940,Sulfur dioxide,500.0 lbs,7299.0 lbs (est.)
2941,"pentane, iso-",5000.0 lbs,79.0 lbs (est.)
2942,"Butane, N-",5000.0 lbs,2610.0 lbs (est.)
3767,Ethane,0,1122.0 lbs
2944,Hexanes,500.0 lbs,1112.0 lbs (est.)
2945,Hydrogen Sulfide,100.0 lbs,380.0 lbs (est.)
2946,Isobutane,5000.0 lbs,806.0 lbs (est.)
2947,NOX,1000.0 lbs,3473.0 lbs (est.)
2948,"Pentane, N-",5000.0 lbs,885.0 lbs (est.)
2949,Propane,5000.0 lbs,5942.0 lbs (est.)
2950,Sulfur dioxide,500.0 lbs,35774.0 lbs (est.)
2951,"pentane, iso-",5000.0 lbs,617.0 lbs (est.)
2952,"Butane, N-",5000.0 lbs,86.0 lbs (est.)
2953,Hydrogen Sulfide,100.0 lbs,65.0 lbs (est.)
2954,Isobutane,5000.0 lbs,38.0 lbs (est.)
2955,Isopentane,5000.0 lbs,21.0 lbs (est.)
2956,Nitrogen dioxide,1000.0 lbs,57.0 lbs (est.)
2957,Nitrogen oxide,1000.0 lbs,19.0 lbs (est.)
2958,Propane,5000.0 lbs,209.0 lbs (est.)
2959,Sulfur dioxide (anhydrous),500.0 lbs,6137.0 lbs (est.)
2960,hexanes +,5000.0 lbs,14.0 lbs (est.)
2961,Benzene,10.0 lbs,31.9 lbs (est.)
2962,Propane,5000.0 lbs,7029.36 lbs (est.)
2963,VOC GAS MIXTURE,5000.0 lbs,14073.44 lbs (est.)
2964,Acrolein,1.0 lbs,1.89 lbs (est.)
2965,"1,3-BUTADIENE",0,2.3 lbs (est.)
2966,"Butane, N-",0,153.3 lbs (est.)
2967,"Butenes, All Isomers",0,274.8 lbs (est.)
2968,Carbon Monoxide,0,1.5 lbs (est.)
2969,Hexane,0,41.7 lbs (est.)
2970,Isobutane,0,294.1 lbs (est.)
2971,Isopentane,0,38.8 lbs (est.)
2972,"Pentane, N-",0,3.9 lbs (est.)
2973,Pentenes,0,18.9 lbs (est.)
2974,"Propane, N-",0,23.7 lbs (est.)
2975,Propylene,0,2.3 lbs (est.)
2976,VOC( unspeciated),0,46.4 lbs (est.)
2977,Resin,0,1.0 lbs (est.)
2978,Diesel fuel,25.0 gals,150.0 gals (est.)
2979,Diesel fuel,25.0 gals,34.0 bbls (est.)
2980,Carbon Monoxide,4.0 TONS/YR,385.85 lbs (est.)
2981,Hydrogen Sulfide,0,19.82 lbs (est.)
2982,NATURAL GAS,1.2 TONS/YR,514.53 lbs (est.)
2983,Nitrogen Oxides,2.0 TONS/YR,193.27 lbs (est.)
2984,Nitrogen dioxide,0,9.66 lbs (est.)
2985,Nitrogen oxide,0,183.61 lbs (est.)
2986,Sulfur dioxide,0.3 TONS/YR,1825.58 lbs (est.)
2987,Diesel fuel,25.0 gals,Unknown
2988,Ethylene (gaseous),0,209.0 lbs (est.)
2989,Methanol,0,11.7 lbs (est.)
2990,Methyl Acrylic Acid,0,3.4 lbs (est.)
